id,collection,field,type,interface,options,locked,validation,required,readonly,hidden_detail,hidden_browse,sort,width,group,note,translation
36,directus_fields,locked,boolean,toggle,,1,,0,0,0,0,,4,,,
37,directus_fields,translation,json,code,,1,,0,0,0,0,,4,,,
38,directus_fields,readonly,boolean,toggle,,1,,0,0,0,0,,4,,,
39,directus_fields,validation,string,text-input,,1,,0,0,0,0,,4,,,
40,directus_fields,required,boolean,toggle,,1,,0,0,0,0,,4,,,
41,directus_fields,sort,sort,sort,,1,,0,0,0,0,,4,,,
42,directus_fields,note,string,text-input,,1,,0,0,0,0,,4,,,
43,directus_fields,hidden_detail,boolean,toggle,,1,,0,0,0,0,,4,,,
44,directus_fields,hidden_browse,boolean,toggle,,1,,0,0,0,0,,4,,,
45,directus_fields,width,integer,numeric,,1,,0,0,0,0,,4,,,
46,directus_fields,group,m2o,many-to-one,,1,,0,0,0,0,,4,,,
47,directus_files,data,alias,file,,1,,0,0,1,0,0,4,,,
48,directus_files,id,integer,primary-key,,1,,1,0,1,0,1,4,,,
49,directus_files,preview,alias,file-preview,,1,,0,0,0,0,2,4,,,
50,directus_files,title,string,text-input,"{""placeholder"":""Enter a descriptive title..."",""iconRight"":""title""}",1,,0,0,0,0,3,2,,,
51,directus_files,filename,string,text-input,"{""placeholder"":""Enter a unique file name..."",""iconRight"":""insert_drive_file""}",1,,0,1,0,0,4,2,,,
52,directus_files,tags,array,tags,,0,,0,0,0,0,5,2,,,
53,directus_files,location,string,text-input,"{""placeholder"":""Enter a location..."",""iconRight"":""place""}",0,,0,0,0,0,6,2,,,
54,directus_files,description,string,wysiwyg,"{""placeholder"":""Enter a caption or description...""}",0,,0,0,0,0,7,4,,,
55,directus_files,width,integer,numeric,"{""iconRight"":""straighten""}",1,,0,1,0,0,8,1,,,
56,directus_files,height,integer,numeric,"{""iconRight"":""straighten""}",1,,0,1,0,0,9,1,,,
57,directus_files,duration,integer,numeric,"{""iconRight"":""timer""}",1,,0,1,0,0,10,1,,,
58,directus_files,filesize,integer,file-size,"{""iconRight"":""storage""}",1,,0,1,0,0,11,1,,,
59,directus_files,uploaded_on,datetime,datetime,"{""iconRight"":""today""}",1,,0,1,0,0,12,2,,,
60,directus_files,uploaded_by,integer,user,,1,,0,1,0,0,13,2,,,
61,directus_files,metadata,json,code,,1,,0,0,0,0,14,4,,,
62,directus_files,type,string,text-input,,1,,0,1,1,0,,4,,,
63,directus_files,charset,string,text-input,,1,,0,1,1,1,,4,,,
64,directus_files,embed,string,text-input,,1,,0,1,1,0,,4,,,
65,directus_files,folder,m2o,many-to-one,,1,,0,0,1,0,,4,,,
66,directus_files,storage,string,text-input,,1,,0,0,1,1,,4,,,
67,directus_folders,id,integer,primary-key,,1,,1,0,1,0,,4,,,
68,directus_folders,name,string,text-input,,1,,0,0,0,0,,4,,,
69,directus_folders,parent_folder,m2o,many-to-one,,1,,0,0,0,0,,4,,,
70,directus_permissions,id,integer,primary-key,,1,,1,0,1,0,,4,,,
71,directus_permissions,collection,m2o,many-to-one,,1,,0,0,0,0,,4,,,
72,directus_permissions,role,m2o,many-to-one,,1,,0,0,0,0,,4,,,
73,directus_permissions,status,string,text-input,,1,,0,0,0,0,,4,,,
74,directus_permissions,create,string,text-input,,1,,0,0,0,0,,4,,,
75,directus_permissions,read,string,text-input,,1,,0,0,0,0,,4,,,
76,directus_permissions,update,string,text-input,,1,,0,0,0,0,,4,,,
77,directus_permissions,delete,string,primary-key,,1,,0,0,0,0,,4,,,
78,directus_permissions,comment,string,text-input,,1,,0,0,0,0,,4,,,
79,directus_permissions,explain,string,text-input,,1,,0,0,0,0,,4,,,
80,directus_permissions,status_blacklist,array,tags,,1,,0,0,0,0,,4,,,
81,directus_permissions,read_field_blacklist,array,tags,,1,,0,0,0,0,,4,,,
82,directus_permissions,write_field_blacklist,array,tags,,1,,0,0,0,0,,4,,,
83,directus_relations,id,integer,primary-key,,1,,0,0,0,0,,4,,,
84,directus_relations,collection_many,string,collections,,1,,0,0,0,0,,4,,,
85,directus_relations,field_many,string,text-input,,1,,0,0,0,0,,4,,,
86,directus_relations,collection_one,string,collections,,1,,0,0,0,0,,4,,,
87,directus_relations,field_one,string,text-input,,1,,0,0,0,0,,4,,,
88,directus_relations,junction_field,string,text-input,,1,,0,0,0,0,,4,,,
89,directus_revisions,id,integer,primary-key,,1,,0,0,0,0,,4,,,
90,directus_revisions,activity,m2o,many-to-one,,1,,0,0,0,0,,4,,,
91,directus_revisions,collection,m2o,many-to-one,,1,,0,0,0,0,,4,,,
92,directus_revisions,item,string,text-input,,1,,0,0,0,0,,4,,,
93,directus_revisions,data,json,code,,1,,0,0,0,0,,4,,,
94,directus_revisions,delta,json,code,,1,,0,0,0,0,,4,,,
95,directus_revisions,parent_item,string,text-input,,1,,0,0,0,0,,4,,,
96,directus_revisions,parent_collection,string,collections,,1,,0,0,0,0,,4,,,
97,directus_revisions,parent_changed,boolean,toggle,,1,,0,0,0,0,,4,,,
98,directus_roles,id,integer,primary-key,,1,,1,0,1,0,,4,,,
99,directus_roles,external_id,string,text-input,,1,,0,1,1,1,,4,,,
100,directus_roles,name,string,text-input,,1,,0,0,0,0,1,2,,,
101,directus_roles,description,string,text-input,,1,,0,0,0,0,2,2,,,
102,directus_roles,ip_whitelist,string,textarea,,1,,0,0,0,0,,4,,,
103,directus_roles,nav_blacklist,string,textarea,,1,,0,0,1,1,,4,,,
104,directus_roles,users,o2m,many-to-many,,1,,0,0,0,0,,4,,,
105,directus_settings,project_name,string,text-input,,1,,0,0,0,0,,4,,,
106,directus_settings,project_url,string,text-input,,1,,0,0,0,0,,4,,,
107,directus_settings,app_url,string,text-input,,1,,0,0,0,0,,4,,,
108,directus_settings,logo,file,file,,1,,0,0,0,0,,4,,,
109,directus_settings,color,string,color-palette,,1,,0,0,0,0,,4,,,
110,directus_settings,default_limit,integer,numeric,,1,,0,0,0,0,,4,,,
111,directus_settings,sort_null_last,boolean,toggle,,1,,0,0,0,0,,4,,Will sort values with null at the end of the result,
112,directus_settings,auto_sign_out,integer,numeric,,1,,0,0,0,0,,4,,,
113,directus_settings,trusted_proxies,array,tags,,1,,0,0,0,0,,4,,,
114,directus_settings,youtube_api,string,text-input,,1,,0,0,0,0,,4,,,
115,directus_settings,thumbnail_dimensions,array,tags,,1,,0,0,0,0,,4,,,
116,directus_settings,thumbnail_quality_tags,json,code,,1,,0,0,0,0,,4,,,
117,directus_settings,thumbnail_actions,json,code,,1,,0,0,0,0,,4,,,
118,directus_settings,thumbnail_cache_ttl,integer,numeric,,1,,0,0,0,0,,4,,,
119,directus_settings,thumbnail_not_found_location,string,text-input,,1,,0,0,0,0,,4,,,
120,directus_users,id,integer,primary-key,,1,,1,0,1,0,1,4,,,
121,directus_users,status,status,status,"{""status_mapping"":{""draft"":{""name"":""Draft"",""text_color"":""white"",""background_color"":""light-gray"",""listing_subdued"":false,""listing_badge"":true,""soft_delete"":false},""invited"":{""name"":""Invited"",""text_color"":""white"",""background_color"":""light-gray"",""listing_subdued"":false,""listing_badge"":true,""soft_delete"":false},""active"":{""name"":""Active"",""text_color"":""white"",""background_color"":""success"",""listing_subdued"":false,""listing_badge"":false,""soft_delete"":false},""suspended"":{""name"":""Suspended"",""text_color"":""white"",""background_color"":""light-gray"",""listing_subdued"":false,""listing_badge"":true,""soft_delete"":false},""deleted"":{""name"":""Deleted"",""text_color"":""white"",""background_color"":""danger"",""listing_subdued"":false,""listing_badge"":true,""soft_delete"":true}}}",1,,0,0,0,0,2,4,,,
122,directus_users,first_name,string,text-input,"{""placeholder"":""Enter your give name...""}",1,,1,0,0,0,3,2,,,
123,directus_users,last_name,string,text-input,"{""placeholder"":""Enter your surname...""}",1,,1,0,0,0,4,2,,,
124,directus_users,email,string,text-input,"{""placeholder"":""Enter your email address...""}",1,$email,1,0,0,0,5,2,,,
125,directus_users,email_notifications,boolean,toggle,,1,,0,0,0,0,6,2,,,
126,directus_users,password,string,password,,1,,1,0,0,0,7,2,,,
127,directus_users,roles,o2m,user-roles,,1,,0,0,0,0,8,2,,,
128,directus_users,company,string,text-input,"{""placeholder"":""Enter your company or organization name...""}",0,,0,0,0,0,9,2,,,
129,directus_users,title,string,text-input,"{""placeholder"":""Enter your title or role...""}",0,,0,0,0,0,10,2,,,
130,directus_users,timezone,string,dropdown,"{""choices"":{""Pacific\/Midway"":""(UTC-11:00) Midway Island"",""Pacific\/Samoa"":""(UTC-11:00) Samoa"",""Pacific\/Honolulu"":""(UTC-10:00) Hawaii"",""US\/Alaska"":""(UTC-09:00) Alaska"",""America\/Los_Angeles"":""(UTC-08:00) Pacific Time (US & Canada)"",""America\/Tijuana"":""(UTC-08:00) Tijuana"",""US\/Arizona"":""(UTC-07:00) Arizona"",""America\/Chihuahua"":""(UTC-07:00) Chihuahua"",""America\/Mexico\/La_Paz"":""(UTC-07:00) La Paz"",""America\/Mazatlan"":""(UTC-07:00) Mazatlan"",""US\/Mountain"":""(UTC-07:00) Mountain Time (US & Canada)"",""America\/Managua"":""(UTC-06:00) Central America"",""US\/Central"":""(UTC-06:00) Central Time (US & Canada)"",""America\/Guadalajara"":""(UTC-06:00) Guadalajara"",""America\/Mexico_City"":""(UTC-06:00) Mexico City"",""America\/Monterrey"":""(UTC-06:00) Monterrey"",""Canada\/Saskatchewan"":""(UTC-06:00) Saskatchewan"",""America\/Bogota"":""(UTC-05:00) Bogota"",""US\/Eastern"":""(UTC-05:00) Eastern Time (US & Canada)"",""US\/East-Indiana"":""(UTC-05:00) Indiana (East)"",""America\/Lima"":""(UTC-05:00) Lima"",""America\/Quito"":""(UTC-05:00) Quito"",""Canada\/Atlantic"":""(UTC-04:00) Atlantic Time (Canada)"",""America\/New_York"":""(UTC-04:00) New York"",""America\/Caracas"":""(UTC-04:30) Caracas"",""America\/La_Paz"":""(UTC-04:00) La Paz"",""America\/Santiago"":""(UTC-04:00) Santiago"",""America\/Santo_Domingo"":""(UTC-04:00) Santo Domingo"",""Canada\/Newfoundland"":""(UTC-03:30) Newfoundland"",""America\/Sao_Paulo"":""(UTC-03:00) Brasilia"",""America\/Argentina\/Buenos_Aires"":""(UTC-03:00) Buenos Aires"",""America\/Argentina\/GeorgeTown"":""(UTC-03:00) Georgetown"",""America\/Godthab"":""(UTC-03:00) Greenland"",""America\/Noronha"":""(UTC-02:00) Mid-Atlantic"",""Atlantic\/Azores"":""(UTC-01:00) Azores"",""Atlantic\/Cape_Verde"":""(UTC-01:00) Cape Verde Is."",""Africa\/Casablanca"":""(UTC+00:00) Casablanca"",""Europe\/Edinburgh"":""(UTC+00:00) Edinburgh"",""Etc\/Greenwich"":""(UTC+00:00) Greenwich Mean Time : Dublin"",""Europe\/Lisbon"":""(UTC+00:00) Lisbon"",""Europe\/London"":""(UTC+00:00) London"",""Africa\/Monrovia"":""(UTC+00:00) Monrovia"",""UTC"":""(UTC+00:00) UTC"",""Europe\/Amsterdam"":""(UTC+01:00) Amsterdam"",""Europe\/Belgrade"":""(UTC+01:00) Belgrade"",""Europe\/Berlin"":""(UTC+01:00) Berlin"",""Europe\/Bern"":""(UTC+01:00) Bern"",""Europe\/Bratislava"":""(UTC+01:00) Bratislava"",""Europe\/Brussels"":""(UTC+01:00) Brussels"",""Europe\/Budapest"":""(UTC+01:00) Budapest"",""Europe\/Copenhagen"":""(UTC+01:00) Copenhagen"",""Europe\/Ljubljana"":""(UTC+01:00) Ljubljana"",""Europe\/Madrid"":""(UTC+01:00) Madrid"",""Europe\/Paris"":""(UTC+01:00) Paris"",""Europe\/Prague"":""(UTC+01:00) Prague"",""Europe\/Rome"":""(UTC+01:00) Rome"",""Europe\/Sarajevo"":""(UTC+01:00) Sarajevo"",""Europe\/Skopje"":""(UTC+01:00) Skopje"",""Europe\/Stockholm"":""(UTC+01:00) Stockholm"",""Europe\/Vienna"":""(UTC+01:00) Vienna"",""Europe\/Warsaw"":""(UTC+01:00) Warsaw"",""Africa\/Lagos"":""(UTC+01:00) West Central Africa"",""Europe\/Zagreb"":""(UTC+01:00) Zagreb"",""Europe\/Athens"":""(UTC+02:00) Athens"",""Europe\/Bucharest"":""(UTC+02:00) Bucharest"",""Africa\/Cairo"":""(UTC+02:00) Cairo"",""Africa\/Harare"":""(UTC+02:00) Harare"",""Europe\/Helsinki"":""(UTC+02:00) Helsinki"",""Europe\/Istanbul"":""(UTC+02:00) Istanbul"",""Asia\/Jerusalem"":""(UTC+02:00) Jerusalem"",""Europe\/Kyiv"":""(UTC+02:00) Kyiv"",""Africa\/Johannesburg"":""(UTC+02:00) Pretoria"",""Europe\/Riga"":""(UTC+02:00) Riga"",""Europe\/Sofia"":""(UTC+02:00) Sofia"",""Europe\/Tallinn"":""(UTC+02:00) Tallinn"",""Europe\/Vilnius"":""(UTC+02:00) Vilnius"",""Asia\/Baghdad"":""(UTC+03:00) Baghdad"",""Asia\/Kuwait"":""(UTC+03:00) Kuwait"",""Europe\/Minsk"":""(UTC+03:00) Minsk"",""Africa\/Nairobi"":""(UTC+03:00) Nairobi"",""Asia\/Riyadh"":""(UTC+03:00) Riyadh"",""Europe\/Volgograd"":""(UTC+03:00) Volgograd"",""Asia\/Tehran"":""(UTC+03:30) Tehran"",""Asia\/Abu_Dhabi"":""(UTC+04:00) Abu Dhabi"",""Asia\/Baku"":""(UTC+04:00) Baku"",""Europe\/Moscow"":""(UTC+04:00) Moscow"",""Asia\/Muscat"":""(UTC+04:00) Muscat"",""Europe\/St_Petersburg"":""(UTC+04:00) St. Petersburg"",""Asia\/Tbilisi"":""(UTC+04:00) Tbilisi"",""Asia\/Yerevan"":""(UTC+04:00) Yerevan"",""Asia\/Kabul"":""(UTC+04:30) Kabul"",""Asia\/Islamabad"":""(UTC+05:00) Islamabad"",""Asia\/Karachi"":""(UTC+05:00) Karachi"",""Asia\/Tashkent"":""(UTC+05:00) Tashkent"",""Asia\/Calcutta"":""(UTC+05:30) Chennai"",""Asia\/Kolkata"":""(UTC+05:30) Kolkata"",""Asia\/Mumbai"":""(UTC+05:30) Mumbai"",""Asia\/New_Delhi"":""(UTC+05:30) New Delhi"",""Asia\/Sri_Jayawardenepura"":""(UTC+05:30) Sri Jayawardenepura"",""Asia\/Katmandu"":""(UTC+05:45) Kathmandu"",""Asia\/Almaty"":""(UTC+06:00) Almaty"",""Asia\/Astana"":""(UTC+06:00) Astana"",""Asia\/Dhaka"":""(UTC+06:00) Dhaka"",""Asia\/Yekaterinburg"":""(UTC+06:00) Ekaterinburg"",""Asia\/Rangoon"":""(UTC+06:30) Rangoon"",""Asia\/Bangkok"":""(UTC+07:00) Bangkok"",""Asia\/Hanoi"":""(UTC+07:00) Hanoi"",""Asia\/Jakarta"":""(UTC+07:00) Jakarta"",""Asia\/Novosibirsk"":""(UTC+07:00) Novosibirsk"",""Asia\/Beijing"":""(UTC+08:00) Beijing"",""Asia\/Chongqing"":""(UTC+08:00) Chongqing"",""Asia\/Hong_Kong"":""(UTC+08:00) Hong Kong"",""Asia\/Krasnoyarsk"":""(UTC+08:00) Krasnoyarsk"",""Asia\/Kuala_Lumpur"":""(UTC+08:00) Kuala Lumpur"",""Australia\/Perth"":""(UTC+08:00) Perth"",""Asia\/Singapore"":""(UTC+08:00) Singapore"",""Asia\/Taipei"":""(UTC+08:00) Taipei"",""Asia\/Ulan_Bator"":""(UTC+08:00) Ulaan Bataar"",""Asia\/Urumqi"":""(UTC+08:00) Urumqi"",""Asia\/Irkutsk"":""(UTC+09:00) Irkutsk"",""Asia\/Osaka"":""(UTC+09:00) Osaka"",""Asia\/Sapporo"":""(UTC+09:00) Sapporo"",""Asia\/Seoul"":""(UTC+09:00) Seoul"",""Asia\/Tokyo"":""(UTC+09:00) Tokyo"",""Australia\/Adelaide"":""(UTC+09:30) Adelaide"",""Australia\/Darwin"":""(UTC+09:30) Darwin"",""Australia\/Brisbane"":""(UTC+10:00) Brisbane"",""Australia\/Canberra"":""(UTC+10:00) Canberra"",""Pacific\/Guam"":""(UTC+10:00) Guam"",""Australia\/Hobart"":""(UTC+10:00) Hobart"",""Australia\/Melbourne"":""(UTC+10:00) Melbourne"",""Pacific\/Port_Moresby"":""(UTC+10:00) Port Moresby"",""Australia\/Sydney"":""(UTC+10:00) Sydney"",""Asia\/Yakutsk"":""(UTC+10:00) Yakutsk"",""Asia\/Vladivostok"":""(UTC+11:00) Vladivostok"",""Pacific\/Auckland"":""(UTC+12:00) Auckland"",""Pacific\/Fiji"":""(UTC+12:00) Fiji"",""Pacific\/Kwajalein"":""(UTC+12:00) International Date Line West"",""Asia\/Kamchatka"":""(UTC+12:00) Kamchatka"",""Asia\/Magadan"":""(UTC+12:00) Magadan"",""Pacific\/Marshall_Is"":""(UTC+12:00) Marshall Is."",""Asia\/New_Caledonia"":""(UTC+12:00) New Caledonia"",""Asia\/Solomon_Is"":""(UTC+12:00) Solomon Is."",""Pacific\/Wellington"":""(UTC+12:00) Wellington"",""Pacific\/Tongatapu"":""(UTC+13:00) Nuku'alofa""},""placeholder"":""Choose a timezone...""}",1,,0,0,0,0,11,2,,,
131,directus_users,locale,string,language,"{""limit"":true}",1,,0,0,0,0,12,2,,,
132,directus_users,locale_options,json,code,,1,,0,0,1,1,13,4,,,
133,directus_users,token,string,text-input,,1,,0,0,1,1,14,4,,,
134,directus_users,last_login,datetime,datetime,,1,,0,1,0,0,15,2,,,
135,directus_users,last_access_on,datetime,datetime,,1,,0,1,1,0,16,2,,,
136,directus_users,last_page,string,text-input,,1,,0,1,1,1,17,2,,,
137,directus_users,avatar,file,file,,1,,0,0,0,0,18,4,,,
138,directus_users,invite_token,string,text-input,,1,,0,0,1,1,,4,,,
139,directus_users,invite_accepted,boolean,toggle,,1,,0,0,1,1,,4,,,
140,directus_users,last_ip,string,text-input,,1,,0,1,1,0,,4,,,
141,directus_users,external_id,string,text-input,,1,,0,1,1,0,,4,,,
142,directus_user_roles,id,integer,primary-key,,1,,1,0,1,0,,4,,,
143,directus_user_roles,user,m2o,many-to-one,,1,,0,0,0,0,,4,,,
144,directus_user_roles,role,m2o,many-to-one,,1,,0,0,0,0,,4,,,
